LAT LON SECMEAN AG.TOT AV.DEP LK.HA POPDENKM URB.TOT ELEV TOT.RD CAL.R MICRO.R ROT.R SMCLAD.R SMCYC.R MACRO.R
41.5224 -71.5226 1.8 33.18 1.11 6.38 59.34 0.65 37 18298 0 16 14 2 0 1
41.68 -71.682 5 0 4.78 69.95 55.72 0.15 145 15091 2 19 16 3 0 9
43.01389 -72.94472 3.35 0 11.04 616.1 0.44 0.98 650 22617 2 30 25 5 0 8
44.4025 -72.41833 6.3 8.89 8.58 58.51 14.733 0 281 49539 1 26 23 2 0.66667 8.6667
44.1875 -72.1 1.9 42.09 7.19 22.18 12.302 1.1 270 10860 1 15 13 1 1 7
43.88333 -72.23333 7.45 9.27 6.59 186.64 8.583 0 207 63196 2 33 31 1 1 9
43.785 -73.18056 5.95 0 6.5 6.66 9.41 0 237 871.18 1 30.5 28.5 1 1 8
43.76528 -73.18389 2.826 0 2.09 31.06 7.67 0 157 4862.6 1.25 23.25 19 3 1 5.25
42.80111 -72.81639 0.85 19.43 0.84 6.38 14.22 0 441 21835 1 38 31 5 1 3
44.4137 -72.0408 2.25 65 1.35 1.41 30.93 0 279 3691.2 0 27 25 1 1 1
44.4038 -72.7499 2.98 14.66 12.06 351.13 15.74 4.43 180 306030 1 18 15 2 1 8
43.381 -72.501 2.54 7.57 2.46 23.23 10.38 2.16 170 97474 0 28 21 6 1 7
44.644 -72.2043 2.56 0 3.34 13.18 1.57 0 376 3615 1.25 20.75 17.25 2.75 0.75 6.75
